Unnamed: 0,time,t,fricv,shtfl,sp,u10,v10
162.0,2021-01-07 18:00:00,275.9292,0.21,36.0,99230.0,0.30565453,-2.2464294
163.0,2021-01-07 19:00:00,276.24194,0.19,35.0,99180.0,0.13116455,-1.986124
164.0,2021-01-07 20:00:00,275.6187,0.17,13.0,99160.0,0.43030548,-1.8063135
165.0,2021-01-07 21:00:00,274.82806,0.17,2.0,99150.0,0.2421875,-2.0134783
166.0,2021-01-07 22:00:00,274.38043,0.11,-2.0,99130.0,0.34309292,-1.4215212
167.0,2021-01-07 23:00:00,273.19415,0.06,-2.0,99140.0,0.45738888,-1.2613564
168.0,2021-01-08 00:00:00,273.44275,0.08,1.0,99160.0,0.46328068,-0.9038086
169.0,2021-01-08 01:00:00,273.00372,0.12,2.0,99110.0,0.16569233,-1.3564053
170.0,2021-01-08 02:00:00,272.75192,0.19,4.0,99090.0,-0.007876396,-2.2334146
171.0,2021-01-08 03:00:00,272.60822,0.15,5.0,99100.0,0.27894497,-1.6826801
172.0,2021-01-08 04:00:00,272.6762,0.23,16.0,99120.0,-0.49227142,-2.547697
173.0,2021-01-08 05:00:00,272.44012,0.1,4.0,99090.0,0.33320427,-1.0488062
174.0,2021-01-08 06:00:00,272.17584,0.14,5.0,99010.0,-0.051322937,-1.5915232
175.0,2021-01-08 07:00:00,271.68738,0.21,-4.0,98910.0,-0.42362213,-2.548586
176.0,2021-01-08 08:00:00,271.37122,0.12,1.0,98900.0,-0.5106926,-1.4354019
177.0,2021-01-08 09:00:00,271.29086,0.1,1.0,98840.0,-0.32690048,-1.1353378
178.0,2021-01-08 10:00:00,271.19128,0.15,1.0,98790.0,-0.5216894,-1.7853317
179.0,2021-01-08 11:00:00,270.96878,0.16,-1.0,98780.0,-0.6714926,-1.9282227
180.0,2021-01-08 12:00:00,270.98193,0.15,1.0,98720.0,-0.62289906,-1.7445927
181.0,2021-01-08 13:00:00,270.8734,0.02,0.0,98800.0,-0.05822754,-0.63129044
182.0,2021-01-08 14:00:00,271.2685,0.17,5.0,98840.0,0.08457565,-1.9924717
183.0,2021-01-08 15:00:00,272.5526,0.23,39.0,98820.0,-0.6499901,-2.476488
184.0,2021-01-08 16:00:00,272.99536,0.26,49.0,98730.0,-0.20022964,-2.843542
185.0,2021-01-08 17:00:00,273.66238,0.23,51.0,98650.0,-0.81242466,-2.3213978
186.0,2021-01-08 18:00:00,274.2575,0.22,37.0,98550.0,0.23544216,-2.3583622
187.0,2021-01-08 19:00:00,276.53845,0.2,75.0,98460.0,-0.20265198,-2.0377407
188.0,2021-01-08 20:00:00,276.0417,0.22,37.0,98450.0,0.15244961,-2.4164448
189.0,2021-01-08 21:00:00,274.77917,0.22,5.0,98470.0,0.8240967,-2.489502
190.0,2021-01-08 22:00:00,272.7038,0.07,-4.0,98490.0,0.5762596,-1.493618
191.0,2021-01-08 23:00:00,272.81104,0.17,-1.0,98540.0,0.8392868,-1.8777628
192.0,2021-01-09 00:00:00,272.67444,0.23,8.0,98570.0,1.0051956,-2.4586105
193.0,2021-01-09 01:00:00,272.63245,0.26,19.0,98610.0,1.0112944,-2.8615685
194.0,2021-01-09 02:00:00,272.40674,0.27,21.0,98630.0,1.1165333,-2.9977188
195.0,2021-01-09 03:00:00,272.26984,0.22,17.0,98610.0,0.58472824,-2.4552288
196.0,2021-01-09 04:00:00,272.14072,0.24,20.0,98630.0,0.49838734,-2.789135
