Unnamed: 0,time,t,fricv,shtfl,sp,u10,v10
218.0,2021-01-10 02:00:00,272.25635,0.16,-14.0,98200.0,2.456955,-0.7049866
219.0,2021-01-10 03:00:00,272.04297,0.16,-13.0,98200.0,2.3277931,-0.95628166
220.0,2021-01-10 04:00:00,271.89056,0.18,-12.0,98220.0,2.4060993,-1.2985439
221.0,2021-01-10 05:00:00,270.76553,0.15,-16.0,98230.0,2.0322056,-1.4904957
222.0,2021-01-10 06:00:00,269.85895,0.13,-15.0,98220.0,1.9749527,-1.452404
223.0,2021-01-10 07:00:00,269.3728,0.1,-10.0,98230.0,2.0385647,-0.8497839
224.0,2021-01-10 08:00:00,269.01263,0.05,-3.0,98290.0,1.4996338,-0.6288748
225.0,2021-01-10 09:00:00,268.52295,0.03,-2.0,98300.0,1.141365,-0.017613411
226.0,2021-01-10 10:00:00,270.37576,0.12,0.0,98340.0,1.5565481,0.56801605
227.0,2021-01-10 11:00:00,270.94095,0.07,-2.0,98410.0,1.2961693,-0.046889305
228.0,2021-01-10 12:00:00,271.10043,0.12,12.0,98480.0,1.2527218,0.7480583
229.0,2021-01-10 13:00:00,270.7915,0.11,15.0,98520.0,0.845623,0.92931175
230.0,2021-01-10 14:00:00,271.15704,0.1,30.0,98560.0,0.56432533,0.84764194
231.0,2021-01-10 15:00:00,271.739,0.11,20.0,98620.0,0.48095322,1.1565533
232.0,2021-01-10 16:00:00,272.8641,0.14,40.0,98610.0,-0.042432785,1.5699482
233.0,2021-01-10 17:00:00,274.13232,0.15,56.0,98520.0,-0.3515377,1.5372782
234.0,2021-01-10 18:00:00,274.65927,0.14,44.0,98480.0,0.8373661,1.3243227
235.0,2021-01-10 19:00:00,275.74838,0.14,37.0,98450.0,1.574213,0.26044083
236.0,2021-01-10 20:00:00,276.95123,0.05,26.0,98380.0,0.12645721,-0.38349724
237.0,2021-01-10 21:00:00,276.23352,0.06,3.0,98400.0,0.67492485,-0.06499863
238.0,2021-01-10 22:00:00,274.13776,0.05,-3.0,98430.0,-0.19368172,-1.6081696
239.0,2021-01-10 23:00:00,272.84918,0.04,-2.0,98460.0,-1.283885,-0.47346306
240.0,2021-01-11 00:00:00,272.43738,0.03,0.0,98460.0,-0.9090824,0.0033454895
241.0,2021-01-11 01:00:00,271.86765,0.03,-1.0,98440.0,-0.93011093,0.051862717
242.0,2021-01-11 02:00:00,270.36176,0.02,-1.0,98430.0,-0.8308878,-0.3719654
243.0,2021-01-11 03:00:00,270.20685,0.02,0.0,98430.0,-0.594429,-0.033418655
244.0,2021-01-11 04:00:00,269.59338,0.03,-1.0,98400.0,-1.057415,0.17985916
245.0,2021-01-11 05:00:00,268.96,0.02,-1.0,98370.0,-0.7684288,0.38154602
246.0,2021-01-11 06:00:00,268.53516,0.03,-2.0,98360.0,-0.9014702,-0.5458603
247.0,2021-01-11 07:00:00,267.8036,0.03,-2.0,98330.0,-0.944252,-0.5738468
248.0,2021-01-11 08:00:00,267.8459,0.03,-2.0,98320.0,-0.89299774,-0.6931858
249.0,2021-01-11 09:00:00,268.73465,0.02,-1.0,98280.0,-0.6105547,-0.24340057
250.0,2021-01-11 10:00:00,268.91882,0.02,-1.0,98210.0,-0.51936626,-0.54060936
251.0,2021-01-11 11:00:00,269.15936,0.02,-1.0,98250.0,0.25473022,-0.80610085
252.0,2021-01-11 12:00:00,269.46777,0.04,-2.0,98250.0,0.8925619,-0.9864559
253.0,2021-01-11 13:00:00,269.7121,0.03,-1.0,98310.0,1.0446367,0.047388077
254.0,2021-01-11 14:00:00,271.23975,0.04,2.0,98330.0,0.46100426,-0.09850502
255.0,2021-01-11 15:00:00,273.2323,0.1,12.0,98290.0,-0.13067055,1.0996208
256.0,2021-01-11 16:00:00,276.17908,0.12,62.0,98310.0,0.42700958,1.1470318
257.0,2021-01-11 17:00:00,278.03235,0.21,78.0,98220.0,1.5641747,1.94137
258.0,2021-01-11 18:00:00,278.4062,0.3,88.0,98080.0,2.5541391,2.742838
259.0,2021-01-11 19:00:00,277.50348,0.36,44.0,98020.0,3.1119232,3.578867
260.0,2021-01-11 20:00:00,276.93707,0.33,15.0,98040.0,3.1006079,3.0556498
261.0,2021-01-11 21:00:00,275.67468,0.25,-18.0,98050.0,3.1883764,1.5877638
262.0,2021-01-11 22:00:00,274.59436,0.22,-27.0,98070.0,2.8920193,1.7700748
263.0,2021-01-11 23:00:00,274.18787,0.24,-21.0,98110.0,2.9469194,1.8806057
264.0,2021-01-12 00:00:00,273.20538,0.19,-20.0,98110.0,2.5470839,1.4186907
265.0,2021-01-12 01:00:00,273.11362,0.24,-13.0,98110.0,2.3859863,2.4284678
266.0,2021-01-12 02:00:00,272.89996,0.23,-9.0,98110.0,2.7040787,1.6758757
267.0,2021-01-12 03:00:00,272.71283,0.27,3.0,98100.0,2.8612747,2.083497
268.0,2021-01-12 04:00:00,272.42624,0.32,14.0,98130.0,2.9239464,3.1232977
269.0,2021-01-12 05:00:00,272.33017,0.26,15.0,98130.0,3.2045593,1.23664
270.0,2021-01-12 06:00:00,272.0048,0.25,21.0,98100.0,2.9906044,1.1765528
271.0,2021-01-12 07:00:00,272.10394,0.27,42.0,98100.0,2.8551445,1.8767366
272.0,2021-01-12 08:00:00,272.14587,0.31,63.0,98110.0,2.846611,2.5821333
273.0,2021-01-12 09:00:00,271.9555,0.29,71.0,98070.0,3.1187477,1.8213902
274.0,2021-01-12 10:00:00,271.80725,0.28,47.0,98060.0,2.148449,2.7626781
275.0,2021-01-12 11:00:00,271.77228,0.27,46.0,98080.0,2.3551807,2.4189653
276.0,2021-01-12 12:00:00,270.28925,0.23,39.0,98110.0,1.836195,2.1817875
277.0,2021-01-12 13:00:00,269.58777,0.24,13.0,98130.0,1.6685581,2.5584488
278.0,2021-01-12 14:00:00,270.3056,0.3,34.0,98100.0,2.1427984,3.2919168
279.0,2021-01-12 15:00:00,270.95117,0.35,52.0,98150.0,3.0078297,3.3982363
280.0,2021-01-12 16:00:00,271.89386,0.36,80.0,98170.0,3.1340961,3.2980232
281.0,2021-01-12 17:00:00,272.47446,0.37,77.0,98050.0,3.0284853,3.7001448
282.0,2021-01-12 18:00:00,273.09396,0.32,64.0,97940.0,2.8979845,2.7434149
283.0,2021-01-12 19:00:00,273.95837,0.32,68.0,97900.0,3.0361757,2.7619638
284.0,2021-01-12 20:00:00,273.92517,0.33,34.0,97900.0,3.477316,2.4070177
285.0,2021-01-12 21:00:00,273.52692,0.29,15.0,97870.0,2.9033146,2.368661
286.0,2021-01-12 22:00:00,272.61618,0.29,9.0,97890.0,2.9594355,2.3357563
287.0,2021-01-12 23:00:00,272.2116,0.31,27.0,97904.266,3.0187044,2.6535416
